position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCBEipHW5jNHITTkNXJHPD1g,"SAFARI DUHA",pFzBITW-x1M,2024-10-16T08:26:05Z,"2024-10-16 08:26:05","A što je za vas skromnost?🙏",,,27,Education,Lifestyle_(sociology),PT1M1S,61,2d,hd,false,,hr,https://i.ytimg.com/vi/pFzBITW-x1M/maxresdefault.jpg,1,,,,9078,649,,0,9
2,UCBEipHW5jNHITTkNXJHPD1g,"SAFARI DUHA",wkW_578sGAE,2024-10-08T16:01:19Z,"2024-10-08 16:01:19","Iz videa • Što je ljubav prema sebi i kako voljeti sebe?•",,,27,Education,Lifestyle_(sociology),PT1M1S,61,2d,hd,false,,hr,https://i.ytimg.com/vi/wkW_578sGAE/maxresdefault.jpg,1,,,,15792,1026,,0,15
3,UCBEipHW5jNHITTkNXJHPD1g,"SAFARI DUHA",YHMHJHzqas8,2024-10-03T06:42:49Z,"2024-10-03 06:42:49","Iz videa •Preduhitrite izazove •",,,27,Education,Lifestyle_(sociology),PT59S,59,2d,hd,false,,hr,https://i.ytimg.com/vi/YHMHJHzqas8/maxresdefault.jpg,1,,,,12895,948,,0,10
4,UCBEipHW5jNHITTkNXJHPD1g,"SAFARI DUHA",47ZWfCBSEyc,2024-09-30T06:12:01Z,"2024-09-30 06:12:01","Tri metode osvještavanja - Ana Bučević","Metode koje će vam pomoći pri osvještavanju #osvjestavanje",,27,Education,Health,PT7M23S,443,2d,hd,false,,hr,https://i.ytimg.com/vi/47ZWfCBSEyc/maxresdefault.jpg,1,,,,44315,2199,,0,160
5,UCBEipHW5jNHITTkNXJHPD1g,"SAFARI DUHA",L_mDOgdnUSY,2024-09-29T09:32:42Z,"2024-09-29 09:32:42","Iz videa •Kako ubrzati expanziju?•",,,27,Education,Lifestyle_(sociology),PT34S,34,2d,hd,false,,hr,https://i.ytimg.com/vi/L_mDOgdnUSY/maxresdefault.jpg,1,,,,13202,771,,0,15
6,UCBEipHW5jNHITTkNXJHPD1g,"SAFARI DUHA",E94KN_51s5M,2024-09-28T08:06:39Z,"2024-09-28 08:06:39","Iz videa • Kada je vrijeme da odustanete?•",,,27,Education,Lifestyle_(sociology),PT53S,53,2d,hd,false,,hr,https://i.ytimg.com/vi/E94KN_51s5M/maxresdefault.jpg,1,,,,13282,823,,0,11
7,UCBEipHW5jNHITTkNXJHPD1g,"SAFARI DUHA",WBmI42SpUvI,2024-09-25T18:22:28Z,"2024-09-25 18:22:28","Webinar OD KONTRASTA DO EXPANZIJE 12.10.24. - Ana Bučević","Prijave na anabucevic.com",,27,Education,Health,PT1M5S,65,2d,hd,false,,hr,https://i.ytimg.com/vi/WBmI42SpUvI/maxresdefault.jpg,1,,,,3923,158,,0,18
8,UCBEipHW5jNHITTkNXJHPD1g,"SAFARI DUHA",3v6MzyhsqXc,2024-09-25T18:22:12Z,"2024-09-25 18:22:12","Cjelodnevna radionica BUDVA 19.10.24 - Ana Bučević","Ulaznice su na anabucevic.com #cjelodnevnaradionica",,27,Education,,PT1M25S,85,2d,hd,false,,hr,https://i.ytimg.com/vi/3v6MzyhsqXc/maxresdefault.jpg,1,,,,1976,95,,0,8
9,UCBEipHW5jNHITTkNXJHPD1g,"SAFARI DUHA",C7OcOVvoffQ,2024-09-20T07:11:57Z,"2024-09-20 07:11:57","Zašto ljudi teško mijenjaju mišljenje? - Ana Bučević","Što je to što uzrokoje da ljudi teško ili nikako mijenjaju svoje mišljenje? #promjenamisljenja",,27,Education,Health,PT11M18S,678,2d,hd,false,,hr,,1,,,,38316,1905,,0,141
10,UCBEipHW5jNHITTkNXJHPD1g,"SAFARI DUHA",dZdjvSWpon4,2024-09-17T06:14:04Z,"2024-09-17 06:14:04","Iz videa •Znate li što zaslužujete?•",,,27,Education,Lifestyle_(sociology),PT45S,45,2d,hd,false,,hr,https://i.ytimg.com/vi/dZdjvSWpon4/maxresdefault.jpg,1,,,,17826,1071,,0,27
